islandId,iteration,populationSize,entitiesDied,entitiesBorn,migrationDelta,best,mean
0,0,100,N/A,N/A,N/A,N/A,N/A
0,1,100,30,30,0,5,7.95
1,0,100,N/A,N/A,N/A,N/A,N/A
1,1,100,30,30,0,4,7.65
2,0,100,N/A,N/A,N/A,N/A,N/A
2,1,100,30,30,0,3,7.3
3,0,100,N/A,N/A,N/A,N/A,N/A
3,1,100,30,30,0,3,7.33
3,2,100,30,30,0,3,6.98
4,0,100,N/A,N/A,N/A,N/A,N/A
4,1,100,30,30,0,5,7.96
0,2,100,30,30,0,4,7.4
1,2,100,30,30,0,3,7.23
2,2,100,30,30,0,3,6.96
3,3,100,30,30,0,3,6.84
5,0,100,N/A,N/A,N/A,N/A,N/A
4,2,100,30,30,0,4,7.46
4,3,100,30,30,0,3,7.09
0,3,100,30,30,0,3,6.97
1,3,100,30,30,0,3,6.92
2,3,100,30,30,0,3,6.57
3,4,100,30,30,0,3,6.68
5,1,100,30,30,0,4,8.11
4,4,100,30,30,0,3,7.05
0,4,100,30,30,0,3,6.8
1,4,100,30,30,0,3,6.8
5,2,100,30,30,0,4,7.42
2,4,100,30,30,0,2,6.4
6,0,100,N/A,N/A,N/A,N/A,N/A
6,1,100,30,30,0,3,7.46
7,0,100,N/A,N/A,N/A,N/A,N/A
7,1,100,30,30,0,3,7.69
8,0,100,N/A,N/A,N/A,N/A,N/A
8,1,100,30,30,0,3,7.82
9,0,100,N/A,N/A,N/A,N/A,N/A
9,1,100,30,30,0,4,7.81
10,0,100,N/A,N/A,N/A,N/A,N/A
10,1,100,30,30,0,4,7.97
11,0,100,N/A,N/A,N/A,N/A,N/A
11,1,100,30,30,0,4,7.75
12,0,100,N/A,N/A,N/A,N/A,N/A
12,1,100,30,30,0,3,7.71
12,2,100,30,30,0,4,7.27
13,0,100,N/A,N/A,N/A,N/A,N/A
3,5,100,30,30,0,2,6.47
13,1,100,30,30,0,3,7.7
14,0,100,N/A,N/A,N/A,N/A,N/A
4,5,100,30,30,0,3,6.87
14,1,100,30,30,0,3,7.55
0,5,100,30,30,0,4,6.56
15,0,100,N/A,N/A,N/A,N/A,N/A
