islandId,iteration,populationSize,entitiesDied,entitiesBorn,migrationDelta,best,mean
1,71,971,291,291,0,94,87.3491246138002
3,73,995,298,298,0,95,87.60804020100502
0,79,1000,300,300,0,97,88.575
0,80,930,300,300,-70,95,88.47096774193548
2,75,1021,306,306,0,94,87.6464250734574
4,78,1005,301,301,0,97,88.20398009950249
1,72,1041,291,291,70,97,87.731027857829
3,74,995,298,298,0,96,87.678391959799
0,81,930,279,279,0,95,88.4505376344086
2,76,1021,306,306,0,96,87.87855044074436
4,79,1005,301,301,0,96,88.40099502487563
4,80,935,301,301,-70,94,88.36470588235294
1,73,1041,312,312,0,97,87.88376560999039
3,75,995,298,298,0,95,87.70954773869347
0,82,1000,279,279,70,95,88.77
2,77,1021,306,306,0,96,87.94515181194907
4,81,935,280,280,0,96,88.48021390374332
1,74,1041,312,312,0,97,88.05091258405379
3,76,995,298,298,0,95,87.82412060301507
0,83,1000,300,300,0,96,88.801
2,78,1021,306,306,0,96,88.19294809010773
4,82,935,280,280,0,96,88.54224598930482
1,75,1041,312,312,0,96,88.09798270893371
3,77,995,298,298,0,95,87.87336683417085
0,84,1000,300,300,0,96,88.968
2,79,1021,306,306,0,96,88.24681684622918
4,83,935,280,280,0,96,88.58823529411765
1,76,1041,312,312,0,96,88.28818443804035
3,78,995,298,298,0,95,87.91859296482411
0,85,1000,300,300,0,96,89.091
2,80,949,306,306,-72,95,88.0927291886196
4,84,935,280,280,0,96,88.66096256684492
1,77,1041,312,312,0,96,88.48126801152738
3,79,1067,298,298,72,96,88.36269915651359
0,86,1000,300,300,0,96,89.235
2,81,948,285,284,0,96,88.2120253164557
4,85,935,280,280,0,96,88.7090909090909
4,86,935,280,280,0,96,88.86737967914439
1,78,1041,312,312,0,96,88.60614793467819
3,80,992,320,320,-75,97,88.23084677419355
0,87,1000,300,300,0,96,89.367
2,82,948,284,284,0,95,88.26476793248945
4,87,1010,280,280,75,95,89.11881188118812
1,79,1041,312,312,0,96,88.85494716618636
3,81,991,298,297,0,97,88.28254288597377
0,88,1000,300,300,0,96,89.449
2,83,948,284,284,0,95,88.27848101265823
