islandId,iteration,populationSize,entitiesDied,entitiesBorn,migrationDelta,best,mean
2,27,1000,300,300,0,3,8.36
2,28,1000,300,300,0,3,8.278
4,28,1000,300,300,0,3,8.269
1,29,1000,300,300,0,3,8.3
3,29,1000,300,300,0,2,8.335
3,30,1000,300,300,0,3,8.369
3,31,1000,300,300,0,3,8.316
0,30,1000,300,300,0,4,8.27
2,29,1000,300,300,0,3,8.335
4,29,1000,300,300,0,3,8.29
1,30,1000,300,300,0,3,8.363
3,32,1000,300,300,0,3,8.369
0,31,1000,300,300,0,3,8.223
2,30,1000,300,300,0,3,8.378
4,30,1000,300,300,0,3,8.38
1,31,1000,300,300,0,3,8.414
3,33,1000,300,300,0,3,8.323
0,32,1000,300,300,0,3,8.108
2,31,1000,300,300,0,3,8.385
4,31,1000,300,300,0,3,8.253
1,32,1000,300,300,0,3,8.343
3,34,1000,300,300,0,4,8.291
0,33,1000,300,300,0,3,8.182
0,34,1000,300,300,0,3,8.318
2,32,1000,300,300,0,3,8.345
4,32,1000,300,300,0,2,8.269
1,33,1000,300,300,0,3,8.378
3,35,1000,300,300,0,2,8.296
0,35,1000,300,300,0,3,8.291
2,33,1000,300,300,0,3,8.36
4,33,1000,300,300,0,3,8.246
1,34,1000,300,300,0,3,8.373
3,36,1000,300,300,0,2,8.252
0,36,1000,300,300,0,3,8.317
2,34,1000,300,300,0,3,8.366
4,34,1000,300,300,0,3,8.158
1,35,1000,300,300,0,3,8.375
3,37,1000,300,300,0,2,8.382
0,37,1000,300,300,0,4,8.419
2,35,1000,300,300,0,4,8.281
4,35,1000,300,300,0,3,8.376
4,36,1000,300,300,0,3,8.359
1,36,1000,300,300,0,3,8.345
3,38,1000,300,300,0,3,8.431
0,38,1000,300,300,0,4,8.287
2,36,1000,300,300,0,3,8.397
4,37,1000,300,300,0,3,8.27
1,37,1000,300,300,0,3,8.216
3,39,1000,300,300,0,3,8.407
0,39,1000,300,300,0,3,8.397
0,40,1000,300,300,0,3,8.277
2,37,1000,300,300,0,3,8.371
4,38,1000,300,300,0,3,8.23
1,38,1000,300,300,0,2,8.294
3,40,1000,300,300,0,3,8.427
3,41,1000,300,300,0,3,8.284
0,41,1000,300,300,0,2,8.343
