islandId,iteration,populationSize,entitiesDied,entitiesBorn,migrationDelta,best,mean
0,0,100,N/A,N/A,N/A,N/A,N/A
0,1,100,30,30,0,3,7.51
1,0,100,N/A,N/A,N/A,N/A,N/A
1,1,100,30,30,0,4,7.33
2,0,100,N/A,N/A,N/A,N/A,N/A
0,2,100,30,30,0,2,7.04
1,2,100,30,30,0,3,6.87
0,3,100,30,30,0,3,6.79
2,1,100,30,30,0,4,7.7
0,4,100,30,30,0,3,6.54
1,3,100,30,30,0,3,6.54
3,0,100,N/A,N/A,N/A,N/A,N/A
2,2,100,30,30,0,3,7.4
3,1,100,30,30,0,4,7.69
4,0,100,N/A,N/A,N/A,N/A,N/A
4,1,100,30,30,0,4,7.5
0,5,100,30,30,0,3,6.43
1,4,100,30,30,0,3,6.45
1,5,100,30,30,0,3,6.54
2,3,100,30,30,0,3,7.09
3,2,100,30,30,0,3,7.05
3,3,100,30,30,0,4,6.76
4,2,100,30,30,0,4,7.19
4,3,100,30,30,0,3,6.88
0,6,100,30,30,0,3,6.27
1,6,100,30,30,0,3,6.44
2,4,100,30,30,0,3,6.68
3,4,100,30,30,0,3,6.47
4,4,100,30,30,0,4,6.52
0,7,100,30,30,0,3,6.32
1,7,100,30,30,0,2,6.23
2,5,100,30,30,0,3,6.51
3,5,100,30,30,0,3,6.04
4,5,100,30,30,0,3,6.62
0,8,100,30,30,0,3,5.9
0,9,100,30,30,0,3,5.99
1,8,100,30,30,0,2,5.88
2,6,100,30,30,0,3,6.48
3,6,100,30,30,0,2,6.15
4,6,100,30,30,0,3,6.49
0,10,93,30,30,-7,3,6.193548387096774
1,9,107,30,30,7,3,5.607476635514018
2,7,100,30,30,0,2,6.21
3,7,100,30,30,0,2,5.79
4,7,100,30,30,0,3,6.6
0,11,94,27,28,0,3,6.01063829787234
1,10,99,32,32,-8,3,5.6767676767676765
2,8,108,30,30,8,2,5.824074074074074
3,8,100,30,30,0,3,5.9
4,8,100,30,30,0,3,6.18
0,12,94,28,28,0,3,6.0
1,11,100,29,30,0,3,5.75
2,9,108,32,32,0,3,5.768518518518518
2,10,100,32,32,-8,2,6.01
3,9,108,30,30,8,2,5.361111111111111
3,10,100,32,32,-8,2,5.56
4,9,108,30,30,8,2,6.111111111111111
0,13,94,28,28,0,3,5.808510638297872
1,12,100,30,30,0,3,5.71
2,11,100,30,30,0,2,5.81
3,11,100,30,30,0,2,5.88
4,10,100,32,32,-8,3,5.73
0,14,102,28,28,8,2,5.568627450980392
1,13,100,30,30,0,3,5.73
2,12,100,30,30,0,2,5.84
3,12,100,30,30,0,2,5.62
4,11,100,30,30,0,3,5.85
0,15,103,30,31,0,3,5.747572815533981
1,14,100,30,30,0,3,5.94
2,13,100,30,30,0,2,5.84
3,13,100,30,30,0,1,5.82
4,12,100,30,30,0,4,5.8
0,16,104,30,31,0,2,5.451923076923077
1,15,100,30,30,0,3,5.87
2,14,100,30,30,0,2,5.84
3,14,100,30,30,0,3,5.88
4,13,100,30,30,0,3,5.81
0,17,104,31,31,0,3,5.663461538461538
1,16,100,30,30,0,3,5.72
1,17,100,30,30,0,3,5.74
2,15,100,30,30,0,2,5.82
3,15,100,30,30,0,3,5.68
4,14,100,30,30,0,3,5.64
0,18,104,31,31,0,3,5.605769230769231
1,18,100,30,30,0,2,5.73
2,16,100,30,30,0,2,5.73
3,16,100,30,30,0,3,5.69
4,15,100,30,30,0,3,5.78
0,19,104,31,31,0,2,5.75
1,19,100,30,30,0,3,5.7
2,17,100,30,30,0,1,5.83
3,17,100,30,30,0,2,5.43
4,16,100,30,30,0,2,5.72
0,20,97,31,31,-7,1,5.876288659793815
1,20,100,30,30,0,2,5.48
2,18,107,30,30,7,1,5.738317757009346
3,18,100,30,30,0,3,5.56
4,17,100,30,30,0,2,5.85
0,21,97,29,29,0,1,5.88659793814433
1,21,100,30,30,0,2,5.61
2,19,107,32,32,0,3,5.934579439252336
2,20,99,32,32,-8,3,5.91919191919192
3,19,108,30,30,8,3,5.546296296296297
4,18,100,30,30,0,2,5.87
0,22,97,29,29,0,1,5.907216494845361
1,22,100,30,30,0,2,5.54
2,21,100,29,30,0,2,5.63
3,20,100,32,32,-8,2,5.81
4,19,108,30,30,8,2,5.62037037037037
4,20,100,32,32,-8,3,5.84
4,21,100,30,30,0,3,5.75
0,23,105,29,29,8,1,5.6761904761904765
1,23,100,30,30,0,2,5.44
1,24,100,30,30,0,3,5.59
2,22,100,30,30,0,3,5.76
3,21,100,30,30,0,3,5.64
4,22,100,30,30,0,2,5.91
4,23,100,30,30,0,3,5.9
0,24,105,31,31,0,1,5.847619047619047
0,25,105,31,31,0,1,5.8
1,25,100,30,30,0,3,5.57
2,23,100,30,30,0,2,5.54
3,22,100,30,30,0,3,5.69
4,24,100,30,30,0,3,5.72
0,26,105,31,31,0,3,5.552380952380952
1,26,100,30,30,0,3,5.67
2,24,100,30,30,0,2,5.77
3,23,100,30,30,0,2,5.56
4,25,100,30,30,0,3,5.61
0,27,105,31,31,0,2,5.314285714285714
1,27,100,30,30,0,3,5.7
2,25,100,30,30,0,2,5.36
3,24,100,30,30,0,2,5.58
4,26,100,30,30,0,3,5.62
0,28,105,31,31,0,3,5.495238095238095
1,28,100,30,30,0,3,5.74
1,29,100,30,30,0,2,5.65
2,26,100,30,30,0,2,5.56
3,25,100,30,30,0,1,5.63
4,27,100,30,30,0,3,5.83
0,29,105,31,31,0,2,5.4
1,30,93,30,30,-7,3,5.78494623655914
2,27,100,30,30,0,2,5.72
3,26,100,30,30,0,2,5.48
4,28,100,30,30,0,3,5.88
0,30,98,31,31,-7,2,5.530612244897959
1,31,94,27,28,0,3,5.76595744680851
2,28,100,30,30,0,2,5.78
3,27,100,30,30,0,2,5.55
4,29,100,30,30,0,3,6.01
0,31,98,29,29,0,2,5.63265306122449
1,32,94,28,28,0,3,5.776595744680851
