islandId,iteration,populationSize,entitiesDied,entitiesBorn,migrationDelta,best,mean
1,44,104,31,31,0,2,5.451923076923077
2,47,104,31,31,0,2,5.336538461538462
0,47,101,30,30,0,3,5.801980198019802
1,45,104,31,31,0,2,5.894230769230769
2,48,104,31,31,0,2,5.605769230769231
0,48,101,30,30,0,2,5.574257425742574
1,46,104,31,31,0,2,5.721153846153846
2,49,104,31,31,0,2,5.605769230769231
2,50,97,31,31,-7,3,5.56701030927835
0,49,108,30,30,7,2,5.444444444444445
1,47,104,31,31,0,2,5.461538461538462
2,51,97,29,29,0,3,5.608247422680412
0,50,100,32,32,-8,3,5.52
1,48,112,31,31,8,2,5.4375
2,52,97,29,29,0,2,5.814432989690721
0,51,100,30,30,0,3,5.61
1,49,113,33,34,0,2,5.336283185840708
2,53,97,29,29,0,2,5.474226804123711
0,52,100,30,30,0,2,5.54
0,53,100,30,30,0,3,5.89
1,50,106,33,34,-8,3,5.773584905660377
2,54,105,29,29,8,2,5.476190476190476
0,54,100,30,30,0,2,6.08
1,51,107,31,32,0,3,5.757009345794392
2,55,105,31,31,0,2,5.3619047619047615
0,55,100,30,30,0,2,5.67
1,52,107,32,32,0,3,5.5607476635514015
2,56,105,31,31,0,2,5.3619047619047615
0,56,100,30,30,0,2,5.38
1,53,107,32,32,0,2,5.5607476635514015
2,57,105,31,31,0,2,5.40952380952381
0,57,100,30,30,0,2,5.28
1,54,107,32,32,0,2,5.5327102803738315
2,58,105,31,31,0,2,5.190476190476191
0,58,100,30,30,0,2,5.16
1,55,107,32,32,0,2,5.364485981308412
2,59,105,31,31,0,2,5.466666666666667
0,59,100,30,30,0,1,5.24
1,56,107,32,32,0,2,5.579439252336448
2,60,98,31,31,-7,3,5.612244897959184
0,60,100,30,30,0,2,5.11
1,57,114,32,32,7,1,5.2894736842105265
2,61,98,29,29,0,3,5.520408163265306
0,61,100,30,30,0,2,5.07
1,58,114,34,34,0,1,5.359649122807017
2,62,98,29,29,0,3,5.744897959183674
0,62,100,30,30,0,2,5.18
1,59,114,34,34,0,1,5.517543859649122
2,63,98,29,29,0,1,5.76530612244898
0,63,100,30,30,0,2,4.95
1,60,106,34,34,-8,2,5.679245283018868
2,64,106,29,29,8,1,5.433962264150943
0,64,100,30,30,0,2,5.26
1,61,107,31,32,0,2,5.364485981308412
2,65,107,31,32,0,1,5.383177570093458
0,65,100,30,30,0,3,5.36
1,62,107,32,32,0,2,5.4672897196261685
1,63,107,32,32,0,1,5.635514018691588
1,64,107,32,32,0,2,5.4672897196261685
2,66,107,32,32,0,2,5.682242990654205
0,66,100,30,30,0,3,5.36
1,65,107,32,32,0,2,5.429906542056075
2,67,107,32,32,0,2,5.644859813084112
0,67,100,30,30,0,2,5.41
1,66,107,32,32,0,2,5.4392523364485985
2,68,107,32,32,0,2,5.5046728971962615
0,68,100,30,30,0,3,5.61
1,67,107,32,32,0,1,5.4672897196261685
2,69,107,32,32,0,2,5.607476635514018
0,69,100,30,30,0,3,5.52
1,68,107,32,32,0,1,5.588785046728972
1,69,107,32,32,0,1,5.4485981308411215
2,70,99,32,32,-8,2,5.7272727272727275
0,70,101,30,30,1,3,5.524752475247524
1,70,106,32,32,-1,1,5.69811320754717
