islandId,iteration,populationSize,entitiesDied,entitiesBorn,migrationDelta,best,mean
3,77,1021,306,306,0,99,90.76297747306562
4,72,978,293,293,0,96,90.03374233128834
0,80,947,305,305,-71,97,90.8078141499472
1,76,1042,291,291,71,97,90.54606525911709
2,74,988,296,296,0,97,90.60222672064778
3,78,1021,306,306,0,97,90.91185112634672
4,73,978,293,293,0,97,90.0562372188139
0,81,947,284,284,0,97,90.75184794086589
1,77,1041,313,312,0,97,90.74351585014409
2,75,988,296,296,0,97,90.63461538461539
3,79,1021,306,306,0,97,90.99216454456415
4,74,978,293,293,0,98,90.2597137014315
4,75,978,293,293,0,97,90.37525562372188
0,82,947,284,284,0,97,90.81837381203802
1,78,1041,312,312,0,97,90.85782901056676
2,76,988,296,296,0,98,90.77935222672065
3,80,949,306,306,-72,97,90.87671232876713
4,76,1050,293,293,72,98,90.83428571428571
0,83,947,284,284,0,98,90.88806758183738
1,79,1041,312,312,0,98,90.95004803073968
2,77,988,296,296,0,98,90.82591093117409
3,81,948,285,284,0,97,90.93354430379746
4,77,1050,315,315,0,97,90.96571428571428
0,84,947,284,284,0,97,90.95881731784583
1,80,968,312,312,-73,97,90.82747933884298
2,78,1061,296,296,73,99,91.01036757775684
3,82,948,284,284,0,97,91.03375527426161
4,78,1050,315,315,0,97,91.00857142857143
4,79,1050,315,315,0,98,91.0904761904762
0,85,947,284,284,0,97,91.0116156282999
1,81,968,290,290,0,97,90.8698347107438
2,79,1061,318,318,0,98,91.11027332704995
3,83,948,284,284,0,97,91.15400843881856
4,80,976,315,315,-74,98,91.07479508196721
0,86,1021,284,284,74,98,91.36630754162586
1,82,968,290,290,0,97,91.06095041322314
2,80,987,318,318,-74,99,91.1469098277609
3,84,1022,284,284,74,98,91.37279843444227
4,81,975,293,292,0,98,91.14461538461538
0,87,1021,306,306,0,98,91.40940254652301
1,83,968,290,290,0,97,91.02685950413223
2,81,987,296,296,0,99,91.30901722391084
3,85,1021,307,306,0,98,91.5024485798237
4,82,975,292,292,0,98,91.22871794871794
0,88,1021,306,306,0,98,91.57884427032322
1,84,968,290,290,0,97,91.11157024793388
2,82,987,296,296,0,99,91.36676798378926
3,86,1021,306,306,0,98,91.65328109696377
4,83,975,292,292,0,98,91.32205128205128
4,84,975,292,292,0,98,91.36410256410257
0,89,1021,306,306,0,98,91.63271302644466
1,85,968,290,290,0,97,91.16528925619835
2,83,987,296,296,0,99,91.47922998986829
3,87,1021,306,306,0,98,91.77179236043095
3,88,1021,306,306,0,99,91.90597453476984
4,85,975,292,292,0,98,91.57128205128205
0,90,949,306,306,-72,98,91.4373024236038
1,86,1040,290,290,72,98,91.49615384615385
