islandId,iteration,populationSize,entitiesDied,entitiesBorn,migrationDelta,best,mean
0,0,100,N/A,N/A,N/A,N/A,N/A
0,1,100,30,30,0,3,7.91
0,2,100,30,30,0,2,7.44
1,0,100,N/A,N/A,N/A,N/A,N/A
1,1,100,30,30,0,4,7.39
0,3,100,30,30,0,2,7.11
1,2,100,30,30,0,3,6.99
0,4,100,30,30,0,2,6.81
1,3,100,30,30,0,3,6.77
2,0,100,N/A,N/A,N/A,N/A,N/A
2,1,100,30,30,0,3,7.66
0,5,100,30,30,0,3,6.75
0,6,100,30,30,0,3,6.54
3,0,100,N/A,N/A,N/A,N/A,N/A
3,1,100,30,30,0,3,8.14
1,4,100,30,30,0,3,6.63
2,2,100,30,30,0,2,7.03
0,7,100,30,30,0,2,6.24
4,0,100,N/A,N/A,N/A,N/A,N/A
4,1,100,30,30,0,3,7.82
3,2,100,30,30,0,3,7.39
5,0,100,N/A,N/A,N/A,N/A,N/A
5,1,100,30,30,0,3,7.87
6,0,100,N/A,N/A,N/A,N/A,N/A
6,1,100,30,30,0,5,7.74
6,2,100,30,30,0,3,7.37
7,0,100,N/A,N/A,N/A,N/A,N/A
7,1,100,30,30,0,4,7.58
8,0,100,N/A,N/A,N/A,N/A,N/A
8,1,100,30,30,0,3,7.77
9,0,100,N/A,N/A,N/A,N/A,N/A
9,1,100,30,30,0,3,7.94
9,2,100,30,30,0,3,7.74
9,3,100,30,30,0,3,7.26
1,5,100,30,30,0,3,6.52
2,3,100,30,30,0,3,6.75
4,2,100,30,30,0,3,7.28
0,8,100,30,30,0,2,6.02
3,3,100,30,30,0,3,7.24
5,2,100,30,30,0,3,7.28
5,3,100,30,30,0,2,7.01
5,4,100,30,30,0,2,6.67
6,3,100,30,30,0,4,7.06
7,2,100,30,30,0,4,7.58
8,2,100,30,30,0,3,7.37
9,4,100,30,30,0,3,7.14
1,6,100,30,30,0,3,6.25
2,4,100,30,30,0,3,6.36
4,3,100,30,30,0,3,6.77
0,9,100,30,30,0,2,6.1
3,4,100,30,30,0,3,6.85
5,5,100,30,30,0,3,6.56
6,4,100,30,30,0,4,6.95
7,3,100,30,30,0,4,7.18
8,3,100,30,30,0,3,6.74
9,5,100,30,30,0,3,6.73
1,7,100,30,30,0,3,6.43
2,5,100,30,30,0,3,6.12
4,4,100,30,30,0,3,6.8
0,10,93,30,30,-7,3,6.064516129032258
3,5,100,30,30,0,1,6.49
5,6,100,30,30,0,2,6.35
6,5,100,30,30,0,4,6.81
7,4,100,30,30,0,4,7.08
8,4,100,30,30,0,3,6.56
9,6,100,30,30,0,3,6.69
9,7,100,30,30,0,4,6.46
9,8,100,30,30,0,3,6.37
1,8,107,30,30,7,2,6.252336448598131
1,9,107,32,32,0,2,6.242990654205608
2,6,100,30,30,0,3,6.09
4,5,100,30,30,0,3,6.49
0,11,94,27,28,0,3,5.8936170212765955
3,6,100,30,30,0,1,6.3
5,7,100,30,30,0,2,6.46
6,6,100,30,30,0,3,6.48
7,5,100,30,30,0,3,6.67
8,5,100,30,30,0,4,6.61
9,9,100,30,30,0,3,6.29
1,10,99,32,32,-8,2,6.444444444444445
2,7,108,30,30,8,3,5.888888888888889
4,6,100,30,30,0,3,6.3
0,12,94,28,28,0,2,5.957446808510638
3,7,100,30,30,0,1,6.12
5,8,100,30,30,0,2,6.07
6,7,100,30,30,0,3,6.43
7,6,100,30,30,0,4,6.69
7,7,100,30,30,0,4,6.33
8,6,100,30,30,0,4,6.37
9,10,93,30,30,-7,3,6.397849462365591
1,11,100,29,30,0,3,6.42
2,8,108,32,32,0,3,5.842592592592593
4,7,100,30,30,0,3,6.25
0,13,101,28,28,7,3,5.9405940594059405
3,8,100,30,30,0,3,6.14
5,9,100,30,30,0,2,5.75
6,8,100,30,30,0,3,6.05
7,8,100,30,30,0,3,6.05
8,7,100,30,30,0,3,6.31
9,11,94,27,28,0,4,6.159574468085107
1,12,100,30,30,0,3,6.37
2,9,108,32,32,0,3,5.805555555555555
4,8,100,30,30,0,3,5.84
0,14,101,30,30,0,3,5.821782178217822
3,9,100,30,30,0,3,6.03
5,10,93,30,30,-7,2,5.838709677419355
6,9,100,30,30,0,2,5.98
7,9,100,30,30,0,2,6.08
8,8,100,30,30,0,2,5.99
9,12,94,28,28,0,3,6.074468085106383
9,13,94,28,28,0,3,6.117021276595745
1,13,100,30,30,0,2,6.3
2,10,100,32,32,-8,2,6.01
4,9,100,30,30,0,3,5.85
0,15,101,30,30,0,3,5.772277227722772
3,10,101,30,30,1,3,5.851485148514851
5,11,94,27,28,0,1,5.851063829787234
6,10,100,30,30,0,1,5.92
6,11,100,30,30,0,1,5.77
7,10,93,30,30,-7,4,6.387096774193548
8,9,100,30,30,0,3,5.98
9,14,94,28,28,0,3,6.212765957446808
1,14,100,30,30,0,2,6.23
2,11,100,30,30,0,2,5.93
4,10,100,30,30,0,3,6.04
0,16,101,30,30,0,3,5.594059405940594
3,11,101,30,30,0,3,5.900990099009901
3,12,101,30,30,0,2,5.663366336633663
5,12,101,28,28,7,1,5.900990099009901
6,12,100,30,30,0,1,5.36
7,11,101,27,28,7,3,6.089108910891089
8,10,100,30,30,0,3,5.65
9,15,101,28,28,7,3,5.851485148514851
1,15,100,30,30,0,4,6.1
2,12,100,30,30,0,1,5.98
4,11,100,30,30,0,3,6.07
